[2022-02-22 21:21:48] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 1543372
[2022-02-22 21:21:48] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 1543468
[2022-02-22 21:21:48] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 1543504
[2022-02-22 21:21:48] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 1543527
[2022-02-22 21:21:48] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 1543552
[2022-02-22 21:23:16] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 79248
[2022-02-22 21:28:29] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 163991
[2022-02-22 21:29:30] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 60632
[2022-02-22 22:17:30] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 188389
[2022-02-22 22:17:30] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 210317
[2022-02-22 22:17:30] -- [WARN ]: [com.alibaba.druid.pool.DruidAbstractDataSource] -- discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/novel?serverTimezone=UTC&useUnicode=true&characterEncoding=utf-8, version : 1.2.8, lastPacketReceivedIdleMillis : 210338
